Mention Year,Current Mess,Quality of food,Food Variety,Adequacy of food and position of queue at the counter,Hygiene Levels,Overall Rating,Review
Fresher,CRCL,1,4,3,1,4,quality is missing
Junior,CRCL,3,2,3,1,3,Food quality has been horrible.
Junior,CRCL,2,2,2,2,2,For that price I can think of a few place I would have much rather gone.
Fresher,CRCL,3,3,4,3,3,The service here is fair at best.
Fresher,CRCL,4,5,5,2,4,"I do love veg, non veg"
Fresher,CRCL,3,3,3,2,3,Do yourself a favor and stay away from this dish.
Fresher,CRCL,2,2,3,4,2,Very poor service.
Senior,CRCL,1,5,3,3,3,No one at the table thought the food was above average or worth the wait that we had for it.
Senior,CRCL,3,2,2,3,4,Best service and food ever
Junior,CRCL,2,4,2,2,3,They were excellent.
Senior,CRCL,2,2,3,4,3,why are we paying such heavyprices for this food
Senior,CRCL,2,2,2,1,2,I had an amazing mess experience
Senior,CRCL,3,3,4,4,3,I have never had such bland food which surprised me considering the article we read focused so much on their spices and flavor.
Senior,CRCL,1,2,1,1,1,Food is way overpriced and portions are fucking small.
Junior,CRCL,3,2,2,3,3,overall nice only
Senior,CRCL,3,2,2,3,3,for the money we paid i really expect better food.
Fresher,CRCL,2,4,2,2,3,The food came out at a good pace.
Junior,CRCL,2,2,3,4,3,They should include salads
Senior,CRCL,2,2,2,1,2,I won't be back.
Fresher,CRCL,3,3,4,4,3,We could not believe how dirty food was
Fresher,CRCL,5,3,1,4,3,This place deserves no stars.
Junior,CRCL,1,4,3,1,4,will surely recommend this mess
Junior,CRCL,3,2,3,1,4,serivice is  awesome.
Sophomore,CRCL,4,3,3,3,5,"To my disbelief, each dish qualified as the worst version of these foods I have ever tasted."
Sophomore,CRCL,3,3,3,3,4,"Bad day or not, I have a very low tolerance for rude customer service people, it is your job to be nice and polite, wash dishes otherwise!"
Junior,CRCL,3,3,5,1,2,the potatoes were great and so was the biscuit.
Junior,CRCL,1,1,1,1,1,I probably would not go here again.
Junior,CRCL,1,5,1,1,1,not good food
Senior,CRCL,4,3,4,4,3,So flavorful and has just the perfect amount of heat.
Fresher,CRCL,3,3,3,3,3,fun place to enjoy with friends after classes 
Sophomore,CRCL,3,3,4,4,3,night canteen is beautiful
Fresher ,CRCL,5,3,1,4,3,good fruits 
Junior ,CRCL,1,4,3,1,4,i can eat more of that biryani 
Senior ,CRCL,3,2,3,1,4,staff listens sometimes 
Sophomore,CRCL,4,3,3,3,5,Its an adventure everyday 
Fresher,CRCL,3,3,3,3,4,I liked that they have a book and noting down all comments. Hope they address them also 
Fresher ,CRCL,3,3,3,3,4,the spice level is as much as i like 
Senior,CRCL,3,4,3,4,5,Amazing mess I really like evertything not missing home food
Junior,CRCL,2,3,4,3,5,Wow really nice mess experience
Senior,CRCL,2,2,3,3,3,CRCL IS BEST
Senior,CRCL,3,3,3,3,3,Amazing I enjoy every meal
Senior,CRCL,4,3,3,3,5,Noicwee
Junior,CRCL,3,3,3,3,4,Overall it is better than the other mess
Senior,CRCL,3,3,5,1,2,"However, there was so much garlic in the fondue, it was barely edible."
Senior,CRCL,1,1,1,1,1,"I could barely stomach the meal, but didn't complain because it was a business lunch."
Senior,CRCL,1,5,1,1,1,"It was so bad, I had lost the heart to finish it."
Senior,CRCL,4,3,4,4,3,It also took her forever to bring us the check when we asked for it.
Junior,CRCL,3,3,3,3,3,not impressed.
Senior,CRCL,1,2,1,1,1,Avoid at all cost!
Fresher,CRCL,3,2,2,3,3,don't come there
Senior,CRCL,3,2,2,3,3,I've never been treated so bad.
Senior,CRCL,2,2,2,2,3,beautiful
Senior,CRCL,3,4,4,4,4,It is awesome.
Junior,CRCL,4,4,3,2,4,excepted for it to be like this 
Senior,CRCL,2,2,1,2,4,Hygiene is not at all there even in the wash areas nor the counter
Fresher,CRCL,1,3,1,1,3,Fried food quantity must be increased 
Sophomore,CRCL,1,2,3,3,1,hard chapaties
Fresher,CRCL,3,3,2,3,4,i like the coffee 
Sophomore,CRCL,3,1,2,2,3,good one.
Junior,CRCL,1,1,1,1,1,The mess should also include pizzas
Junior,CRCL,3,3,3,3,3,I swung in to give them a try but was deeply disappointed.
Senior ,CRCL,3,4,5,2,3,Service was good and the company was better!
Senior ,CRCL,3,2,3,3,2,The staff are also very friendly and efficient.
Senior ,CRCL,3,5,3,3,3,"As for the service: I'm a fan, because it's quick and you're being served by some nice folks."
Sophomore,CRCL,4,4,2,2,3,Boy was that sucker dry!!.
Sophomore,CRCL,2,2,2,2,2,Over rated.
Junior,CRCL,1,1,1,1,1,no multi cuisines are available
Junior,CRCL,1,5,1,1,1,I need protein food
Junior,CRCL,3,3,3,3,3,gorgeous mess
Senior,CRCL,3,4,5,2,3,Great food and great service in a clean and friendly setting.
Sophomore,CRCL,3,2,3,3,2,"All in all, I can assure you I'll be back."
Sophomore,CRCL,3,5,3,3,3,I hate those things as much as cheap quality black olives.
Junior,CRCL,4,4,2,2,3,"My breakfast was perpared great, with a beautiful presentation of 3 giant slices of Toast, lightly dusted with powdered sugar."
Junior,CRCL,2,2,2,2,2,quality is NASTY!
Junior,CRCL,1,1,1,1,1,hygiene is also not there
Senior,CRCL,1,5,1,1,1,not nice serivice is worst rude
Senior,CRCL,3,3,3,3,4,Great place to dine
Fresher,CRCL,3,3,3,3,3,It was extremely nice and pretty tasty
Fresher,CRCL,2,3,2,3,3,It was a pale color instead of nice and char and has NO flavor.
Junior,CRCL,4,3,4,3,4,So absolutley fantastic.
Junior,CRCL,4,2,3,4,3,It was a huge awkward 1.5lb piece of cow that was 3/4ths gristle and fat.
Senior ,CRCL,3,2,4,3,3,definitely will come back here again.
Senior ,CRCL,5,5,5,5,5,I like Steiners because it's dark and it feels like a bar.
Senior ,CRCL,5,5,5,5,5,Wow very spicy but delicious.
Sophomore,CRCL,3,2,2,3,3,Don't check it out.
Sophomore,CRCL,3,2,2,3,3,Money waste
Junior,CRCL,2,4,2,2,3,I'd love to go back.
Junior,CRCL,2,2,3,4,3,wonderful meals including snacks
Senior,CRCL,3,3,4,4,3,Nothing special.
Senior,CRCL,3,3,3,3,3,Each day of the week they have a different deal and it's all so delicious!
Junior,CRCL,3,4,5,2,3,Not to mention all combos sucks 
Junior,CRCL,3,2,3,3,2,Will not be back.
Senior,CRCL,3,5,3,3,3,Sauce was tasteless.
Junior,CRCL,4,4,2,2,3,"The food is delicious and just spicy enough, so be sure to ask for spicier if you prefer it that way."
Sophomore,CRCL,2,2,2,2,2,what is this food worst
Senior,CRCL,1,1,1,1,1,I don't think we'll be going back anytime soon.
Senior,CRCL,3,5,4,3,4,Food was so gooodd.
Junior,CRCL,4,3,4,4,3,much better
Senior,CRCL,4,4,4,3,4,I was so insulted.
Fresher,CRCL,1,1,2,5,3,The last 3 times I had lunch here has been bad.
Fresher,CRCL,2,5,5,3,3,The chicken wings contained the driest chicken meat I have ever eaten.
Junior,CRCL,2,3,3,3,3,The food was very good and I enjoyed every mouthful
Fresher,CRCL,1,1,1,1,1,WASTE tasteless
Senior,CRCL,3,2,3,3,2,Best curries
Senior,CRCL,4,4,3,4,4,We loved the place.
Fresher,CRCL,3,3,2,3,3,Definitely not worth it
Junior,CRCL,3,2,3,1,2,The vanilla ice cream was creamy on sundays
Fresher,CRCL,1,1,1,1,1,i want to spit out
Senior,CRCL,3,3,2,4,3,The inside is really quite nice and very clean.
Fresher,CRCL,3,3,3,2,3,management is okay
Fresher,CRCL,3,4,2,5,4,The food was outstanding and the prices were very reasonable.
Fresher,CRCL,4,2,2,3,3,I hate this food
Junior,CRCL,3,2,2,1,3,"This is was due to the fact that it took 20 minutes to be acknowledged, then another 35 minutes to get our food...and they kept forgetting things."
Junior,CRCL,2,2,2,2,2,"Love the desserts, too!"
Fresher,CRCL,3,3,4,3,3,This was my first and only mess and it did not disappoint.
Fresher,CRCL,4,5,5,2,4,"Very good, though!"
Fresher,CRCL,3,3,3,2,3,The one down note is the ventilation could use some upgrading.
Fresher,CRCL,2,2,3,4,2,no sandwichesor pizza
Senior,CRCL,1,5,3,3,3,Don't waste your time here.
Junior,CRCL,3,3,3,3,3,Total letdown.
Senior,CRCL,3,2,3,3,3,sometimes food is served  cold.
Fresher,CRCL,3,5,4,2,4,We enjoy the meals everyday
Junior,CRCL,2,3,4,3,3,okay noice food well cooked
Fresher,CRCL,3,3,1,3,4,We had a group and they handled us beautifully.
Junior,CRCL,4,3,3,3,4,I LOVED it!
Senior,CRCL,4,3,3,5,4,nice mood good food.
Senior,CRCL,2,3,5,2,5,nice management
Senior,CRCL,1,5,3,3,5,Owner's are really great people.!
Senior,CRCL,2,1,4,3,2,There is nothing privileged about working/eating there.
Senior,CRCL,3,4,4,1,1,Based on the sub-par service I received and no effort to show their gratitude for my business I won't be going back.
Senior,CRCL,4,3,1,2,2,"Overall, I don't think this is good mess"
Senior,CRCL,5,4,3,4,3,Nice food good and tasty
Senior,CRCL,3,4,2,2,3, the service was pretty fast.
Senior,CRCL,4,3,4,3,4,Fantastic service here.
Senior,CRCL,3,3,1,3,4,I as well would've given godfathers zero stars if possible.
Fresher,CRCL,3,2,2,5,3,They know how to make them here.
Junior,CRCL,3,3,3,4,2,very tough and very short on flavor!
Sophomore,CRCL,4,4,4,1,3,I hope this place sticks around.
Fresher,CRCL,4,3,3,1,2,I paid to get good food but it sucks here
Senior,CRCL,1,2,3,2,3,The mess atmosphere was exquisite.
Senior,CRCL,3,5,3,3,3,"Good service, very clean, and inexpensive, to boot!"
Junior,CRCL,4,4,2,2,3,The food was fresh and generous in portion.
Sophomore,CRCL,2,2,2,2,2,money waste for the worst food and service here
Senior,CRCL,1,1,1,1,1,"The service was not up to par, either."
Senior,CRCL,1,5,1,1,1,I was wildly disappointed.
Junior,CRCL,4,3,4,4,3,Just as good as home food
Senior,CRCL,3,3,3,3,3,"For a self proclaimed meals, I was utterly disappointed."
Senior,CRCL,3,3,2,3,2,The Veggitarian platter is out of this world!
Senior,CRCL,3,2,2,2,3,You cant go wrong with any of the food here.
Senior,CRCL,2,2,2,1,2,You can't beat that.
Fresher,CRCL,3,3,4,4,3," very friendly, kind staff."
Sophomore,CRCL,5,3,1,4,3,The chefs were friendly and did a good job.
Sophomore,CRCL,1,4,3,1,4,I want better food
Junior,CRCL,3,2,3,1,4,I liked the food and the service was outstanding.
Junior,CRCL,4,3,3,3,5,wow what FLAVOR!
Junior,CRCL,3,3,3,3,4,I think not again
Senior,CRCL,3,3,3,3,4,food was pretty bland so I will not be getting that again.
Junior,CRCL,3,4,3,4,5,I  was so  disappointed.
Junior,CRCL,2,3,4,3,5,Service stinks here!
Junior,CRCL,2,2,3,3,3,I waited and waited.
Senior,CRCL,3,3,3,3,3, it is not a quality mess.
Fresher,CRCL,2,2,2,2,3,I would definitely recommend the wings 
Senior,CRCL,3,3,3,3,3,Plis include Salads!
Senior,CRCL,1,2,1,1,1,Things that went wrong: - They burned the food
Senior,CRCL,3,2,2,3,3,We waited an hour for what was a breakfast I could have done 100 times better at home.
Senior,CRCL,3,2,2,3,3,This place is amazing!
Junior,CRCL,2,4,2,2,3,I hate this mess
Senior,CRCL,2,2,3,4,3,Waited 2 hours still wasn't served meals
Senior,CRCL,2,2,2,1,2,Just don't know why they were so slow.
Senior,CRCL,3,3,4,4,3,"The staff is great, the food is delish, and they have an incredible beer selection."
Senior,CRCL,1,2,1,1,1,I live ihere so I am disappointed I won't be back here but i have no option
Junior,CRCL,3,2,2,3,3, soooo delicious.
Senior,CRCL,3,2,2,3,3,"You get incredibly fresh fish, prepared with care."
Fresher,CRCL,2,4,2,2,3,i hate this place
Junior,CRCL,2,2,3,4,3,I love the fact that everything on their menu is worth it.
Senior,CRCL,2,2,2,1,2,Never again will I be dining at this place!
Fresher,CRCL,3,3,4,4,3,The food was excellent and service was very good.
Fresher,CRCL,5,3,1,4,3,good food selection.
Junior,CRCL,1,4,3,1,4,Food was really boring.
Junior,CRCL,3,2,3,1,4,Good Service-check!
